cate,riskbudegt
IH.CFE,1.5
IF.CFE,3
IC.CFE,1.5
TF.CFE,3
T.CFE,3
AU.SHF,1.5
AG.SHF,1.5
CU.SHF,1
AL.SHF,1
ZN.SHF,1
NI.SHF,1
SN.SHF,1
PB.SHF,1
RB.SHF,1
HC.SHF,1
I.DCE,1
JM.DCE,1
J.DCE,1
ZC.CZC,1
RU.SHF,0.75
BU.SHF,0.75
TA.CZC,0.75
MA.CZC,0.75
PP.DCE,0.75
L.DCE,0.75
V.DCE,0.75
FG.CZC,0.75
SR.CZC,1.5
CF.CZC,1.5
OI.CZC,0.666666667
RM.CZC,0.666666667
A.DCE,0.666666667
M.DCE,0.666666667
Y.DCE,0.666666667
P.DCE,0.666666667
C.DCE,0.666666667
CS.DCE,0.666666667
JD.DCE,0.666666667
